discrepancyNo,classKey,discrepancyCategory,inputName,inputList,libraryName,driverName,funcName,output,absErrs,relErrs,maxDeltaDiff
007807b8c75278fe1f176f79a5349c39,12.392414011071057,1,all_nanInput_pos1,"[2.533265554575144, nan]",scipy,scipy_special_ive_arg2_DRIVER0,ive,nan,,,1
007807b8c75278fe1f176f79a5349c39,12.392414011071057,1,all_nanInput_pos1,"[2.533265554575144, nan]",gsl,gsl_sf_bessel_Inu_scaled_DRIVER,gsl_sf_bessel_Inu_scaled,"EXCEPTION: error gsl_sf_bessel_Inu_scaled_e(nu, x, &result) ",,,1
00f89c11979cacf5be07591c70df4666,105.00416012207393,1,mpmath_hyperu_arg3_DRIVER2~input_num004,"[-5, 2, 0.0]",mpmath,mpmath_hyperu_arg3_DRIVER2,hyperu,inf,,,2
00f89c11979cacf5be07591c70df4666,105.00416012207393,1,mpmath_hyperu_arg3_DRIVER2~input_num004,"[-5, 2, 0.0]",scipy,scipy_special_hyperu_arg3_DRIVER2,hyperu,nan,,,2
00f89c11979cacf5be07591c70df4666,105.00416012207393,1,mpmath_hyperu_arg3_DRIVER2~input_num004,"[-5, 2, 0.0]",gsl,gsl_sf_hyperg_U_int_DRIVER,gsl_sf_hyperg_U_int,"EXCEPTION: domain error gsl_sf_hyperg_U_int_e(a, b, x, &result) ",,,2
0134df9481ed470f5cccdff8229a5667,18.527198383926635,1,all_nanInput_pos0,"[1, nan]",mpmath,mpmath_expint_arg2_DRIVER1,expint,"EXCEPTION: float() argument must be a string or a number, not 'mpc'",,,2
0134df9481ed470f5cccdff8229a5667,18.527198383926635,1,all_nanInput_pos0,"[1, nan]",scipy,scipy_special_expn_arg2_DRIVER1,expn,nan,,,2
0134df9481ed470f5cccdff8229a5667,18.527198383926635,1,all_nanInput_pos0,"[1, nan]",gsl,gsl_sf_expint_En_DRIVER,gsl_sf_expint_En,"EXCEPTION: underflow gsl_sf_expint_En_e(n, x, &result) ",,,2
0267dbd3be36c1886db9aa1c1fb3809d,-44.84697110726536,3,gsl_sf_bessel_Ynu_DRIVER~input_num005,"[1.0, 1.0]",mpmath,mpmath_bessely_arg2_DRIVER0,bessely,-0.7812128213002887,"{'mpmath_bessely_arg2_DRIVER0/mpmath_fp_bessely_arg2_DRIVER0': 0.0941393657051357, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 2.220446049250313e-16, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 2.220446049250313e-16, 'mpmath_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 2.220446049250313e-16, 'mpmath_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 0.09413936570513548, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.09413936570513548, 'mpmath_fp_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.09413936570513548, 'mpmath_fp_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 0.09413936570513559, 'scipy_special_yv_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.0, 'scipy_special_yv_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yv_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.1102230246251565e-16, 'scipy_special_yve_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yve_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.1102230246251565e-16, 'gsl_sf_bessel_Ynu_DRIVER/jmat_bessely_DRIVER0': 1.1102230246251565e-16}","{'mpmath_bessely_arg2_DRIVER0/mpmath_fp_bessely_arg2_DRIVER0': 0.11365610795005109, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 2.8423062047989616e-16, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 2.8423062047989616e-16, 'mpmath_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 2.8423062047989616e-16, 'mpmath_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.4211531023994808e-16, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 0.11365610795005081, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.11365610795005081, 'mpmath_fp_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.11365610795005081, 'mpmath_fp_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 0.11365610795005096, 'scipy_special_yv_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.0, 'scipy_special_yv_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yv_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.4211531023994805e-16, 'scipy_special_yve_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yve_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.4211531023994805e-16, 'gsl_sf_bessel_Ynu_DRIVER/jmat_bessely_DRIVER0': 1.4211531023994805e-16}",5
0267dbd3be36c1886db9aa1c1fb3809d,-44.84697110726536,3,gsl_sf_bessel_Ynu_DRIVER~input_num005,"[1.0, 1.0]",mpmath,mpmath_fp_bessely_arg2_DRIVER0,bessely,-0.8753521870054244,"{'mpmath_bessely_arg2_DRIVER0/mpmath_fp_bessely_arg2_DRIVER0': 0.0941393657051357, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 2.220446049250313e-16, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 2.220446049250313e-16, 'mpmath_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 2.220446049250313e-16, 'mpmath_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.1102230246251565e-16, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 0.09413936570513548, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.09413936570513548, 'mpmath_fp_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.09413936570513548, 'mpmath_fp_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 0.09413936570513559, 'scipy_special_yv_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.0, 'scipy_special_yv_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yv_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.1102230246251565e-16, 'scipy_special_yve_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yve_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.1102230246251565e-16, 'gsl_sf_bessel_Ynu_DRIVER/jmat_bessely_DRIVER0': 1.1102230246251565e-16}","{'mpmath_bessely_arg2_DRIVER0/mpmath_fp_bessely_arg2_DRIVER0': 0.11365610795005109, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 2.8423062047989616e-16, 'mpmath_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 2.8423062047989616e-16, 'mpmath_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 2.8423062047989616e-16, 'mpmath_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.4211531023994808e-16, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yv_arg2_DRIVER0': 0.11365610795005081, 'mpmath_fp_bessely_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.11365610795005081, 'mpmath_fp_bessely_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.11365610795005081, 'mpmath_fp_bessely_arg2_DRIVER0/jmat_bessely_DRIVER0': 0.11365610795005096, 'scipy_special_yv_arg2_DRIVER0/scipy_special_yve_arg2_DRIVER0': 0.0, 'scipy_special_yv_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yv_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.4211531023994805e-16, 'scipy_special_yve_arg2_DRIVER0/gsl_sf_bessel_Ynu_DRIVER': 0.0, 'scipy_special_yve_arg2_DRIVER0/jmat_bessely_DRIVER0': 1.4211531023994805e-16, 'gsl_sf_bessel_Ynu_DRIVER/jmat_bessely_DRIVER0': 1.4211531023994805e-16}",5
